timestamp,user,action,final_risk_score,mitre_tag
2026-01-14 15:57,admin,usbinsert,62.9,T1201
2026-01-13 21:33,admin,fileaccess,59.6,TA0004
2026-01-14 08:07,guest,fileaccess,34.3,T1078
2026-01-14 07:13,guest,privilegeescalation,112.7,T1078
2026-01-14 18:24,guest,login,42.7,TA0001
2026-01-14 14:50,user2,privilegeescalation,90.9,TA0010
2026-01-13 22:15,user1,usbinsert,91.2,TA0001
2026-01-14 05:30,user1,fileaccess,43.6,T1059
2026-01-14 00:45,admin,fileaccess,50.5,TA0001
2026-01-14 10:06,user2,login,24.7,TA0002
2026-01-14 18:39,user1,privilegeescalation,76.1,T1078
2026-01-14 17:31,guest,dataexfil,37.5,T1059
2026-01-13 22:57,user2,dataexfil,59.7,T1059
2026-01-14 11:52,guest,usbinsert,113.3,T1201
2026-01-14 11:40,guest,privilegeescalation,82.4,TA0004
2026-01-14 05:02,guest,dataexfil,56.9,TA0010
2026-01-14 05:17,user2,privilegeescalation,107.4,TA0010
2026-01-13 19:25,guest,dataexfil,54.9,T1078
2026-01-14 17:55,user2,fileaccess,50.3,TA0004
2026-01-14 11:15,guest,fileaccess,19.4,TA0002
2026-01-14 06:57,guest,dataexfil,46.3,TA0004
2026-01-13 22:55,guest,privilegeescalation,96.5,TA0004
2026-01-14 03:49,user2,dataexfil,59.9,TA0004
2026-01-14 05:16,admin,login,49.8,T1078
2026-01-13 20:55,user1,login,28.2,T1059
2026-01-14 19:16,admin,login,42.8,T1078
2026-01-14 10:43,user1,login,51.8,TA0010
2026-01-13 19:46,user1,fileaccess,56.2,T1059
2026-01-14 05:25,user1,dataexfil,29.0,T1078
2026-01-14 10:17,guest,login,41.2,T1059
2026-01-14 08:21,admin,fileaccess,35.3,TA0002
2026-01-14 03:35,guest,login,42.4,TA0008
2026-01-14 14:24,guest,login,66.1,TA0008
2026-01-14 18:31,user1,fileaccess,40.8,TA0010
2026-01-14 00:39,guest,privilegeescalation,85.0,TA0004
2026-01-13 23:13,guest,dataexfil,58.9,T1078
2026-01-14 18:10,admin,usbinsert,123.2,TA0001
2026-01-14 17:36,user1,fileaccess,65.2,TA0002
2026-01-13 20:20,admin,login,31.1,TA0008
2026-01-14 10:31,user1,dataexfil,61.0,TA0002
2026-01-13 23:41,user2,login,61.3,TA0004
2026-01-14 10:51,user1,dataexfil,45.6,T1059
2026-01-13 23:37,guest,privilegeescalation,86.2,TA0002
2026-01-14 03:41,admin,dataexfil,48.4,TA0008
2026-01-14 11:00,guest,fileaccess,45.9,TA0001
2026-01-14 17:10,guest,usbinsert,105.7,T1059
2026-01-14 03:50,guest,privilegeescalation,91.0,T1201
2026-01-13 20:24,admin,privilegeescalation,97.3,T1059
2026-01-14 16:01,user1,usbinsert,87.6,T1201
2026-01-14 10:49,user1,usbinsert,109.9,TA0010
2026-01-14 17:55,admin,login,54.7,TA0001
2026-01-14 14:36,user1,usbinsert,83.0,TA0008
2026-01-14 15:12,user2,privilegeescalation,76.8,T1059
2026-01-13 19:34,user2,usbinsert,94.6,T1059
2026-01-14 05:25,admin,dataexfil,47.2,TA0004
2026-01-13 20:32,admin,dataexfil,77.5,TA0001
2026-01-14 19:07,user2,usbinsert,114.8,TA0001
2026-01-13 20:22,guest,usbinsert,122.9,TA0004
2026-01-14 16:54,user1,dataexfil,22.6,T1059
2026-01-14 03:44,user2,privilegeescalation,113.4,TA0004
2026-01-14 18:52,guest,login,81.7,T1201
2026-01-14 10:12,guest,login,63.8,TA0002
2026-01-14 14:03,user1,usbinsert,83.7,TA0008
2026-01-13 21:14,user2,fileaccess,25.7,TA0004
2026-01-14 01:04,admin,login,46.1,TA0002
2026-01-13 21:09,user1,fileaccess,61.2,TA0010
2026-01-14 18:56,user1,usbinsert,125.4,TA0002
2026-01-14 12:43,guest,privilegeescalation,85.0,TA0002
2026-01-13 20:46,guest,dataexfil,30.6,TA0010
