timestamp,user,action,finalriskscore,mitretag
2026-01-13 07:40,guest,dataexfil,56.8,TA0002 - Execution
2026-01-13 15:34,user2,dataexfil,60.8,TA0002 - Execution
2026-01-13 06:41,guest,login,37.9,T1201 - Exploitation
2026-01-13 07:47,admin,privilegeescalation,101.0,TA0002 - Execution
2026-01-13 09:01,admin,privilegeescalation,98.7,TA0004 - Privilege Escalation
2026-01-13 23:00,guest,login,65.0,T1078 - Valid Accounts
2026-01-13 11:16,user1,usbinsert,122.5,T1059 - Command Interpreter
2026-01-13 01:59,user2,privilegeescalation,111.2,T1201 - Exploitation
2026-01-13 12:48,user2,login,37.8,TA0008 - Lateral Movement
2026-01-13 12:53,guest,login,52.7,T1078 - Valid Accounts
2026-01-13 04:57,user2,usbinsert,111.9,TA0001 - Initial Access
2026-01-13 04:57,user1,login,45.2,TA0004 - Privilege Escalation
2026-01-13 02:25,admin,dataexfil,38.6,T1201 - Exploitation
2026-01-13 06:38,user1,dataexfil,22.1,TA0002 - Execution
2026-01-13 06:21,user2,dataexfil,44.5,TA0002 - Execution
2026-01-13 09:47,admin,usbinsert,99.5,TA0001 - Initial Access
2026-01-13 02:17,user1,usbinsert,83.4,TA0008 - Lateral Movement
2026-01-13 04:46,user2,login,88.7,TA0004 - Privilege Escalation
2026-01-13 12:51,user2,fileaccess,34.9,T1078 - Valid Accounts
2026-01-13 23:18,user2,login,77.8,T1059 - Command Interpreter
2026-01-13 04:20,guest,fileaccess,62.7,TA0002 - Execution
2026-01-13 13:15,user2,fileaccess,60.8,TA0010 - Exfiltration
2026-01-13 02:08,user2,dataexfil,34.8,T1078 - Valid Accounts
2026-01-13 13:38,admin,privilegeescalation,125.0,TA0008 - Lateral Movement
2026-01-13 23:31,user2,fileaccess,57.9,T1078 - Valid Accounts
2026-01-13 09:08,guest,usbinsert,80.7,TA0008 - Lateral Movement
2026-01-13 14:27,guest,fileaccess,28.5,TA0002 - Execution
2026-01-13 04:46,user2,dataexfil,79.1,TA0010 - Exfiltration
2026-01-13 15:36,user1,dataexfil,80.4,TA0004 - Privilege Escalation
2026-01-13 05:16,user2,dataexfil,43.4,T1059 - Command Interpreter
2026-01-13 22:06,user2,login,46.3,T1078 - Valid Accounts
2026-01-13 13:43,user1,privilegeescalation,105.5,TA0010 - Exfiltration
2026-01-13 22:35,user2,fileaccess,41.9,TA0008 - Lateral Movement
2026-01-13 23:10,admin,login,38.1,T1059 - Command Interpreter
2026-01-13 08:39,user2,fileaccess,52.3,TA0001 - Initial Access
2026-01-13 13:32,admin,dataexfil,76.4,TA0004 - Privilege Escalation
2026-01-13 13:18,user2,fileaccess,41.1,TA0001 - Initial Access
2026-01-13 18:34,user2,login,78.8,TA0008 - Lateral Movement
2026-01-13 13:22,user1,dataexfil,32.7,TA0008 - Lateral Movement
2026-01-13 06:08,user1,dataexfil,52.4,TA0010 - Exfiltration
2026-01-13 02:52,guest,fileaccess,30.7,TA0002 - Execution
2026-01-13 21:47,guest,login,45.4,TA0002 - Execution
2026-01-13 17:40,admin,privilegeescalation,127.1,TA0004 - Privilege Escalation
2026-01-13 04:04,admin,login,67.3,T1078 - Valid Accounts
2026-01-13 11:43,guest,fileaccess,54.8,TA0008 - Lateral Movement
2026-01-13 17:49,user1,login,57.4,T1059 - Command Interpreter
2026-01-13 04:27,user1,usbinsert,63.7,TA0008 - Lateral Movement
2026-01-13 22:11,guest,privilegeescalation,79.7,TA0001 - Initial Access
2026-01-13 10:20,user2,usbinsert,105.2,T1059 - Command Interpreter
2026-01-13 18:14,user1,privilegeescalation,116.4,TA0002 - Execution
2026-01-13 02:42,guest,privilegeescalation,107.1,TA0004 - Privilege Escalation
2026-01-13 22:41,guest,login,32.4,TA0008 - Lateral Movement
2026-01-13 09:36,admin,login,58.0,TA0001 - Initial Access
2026-01-13 18:12,user2,login,32.0,TA0010 - Exfiltration
2026-01-13 02:04,user1,dataexfil,57.6,TA0008 - Lateral Movement
2026-01-13 14:25,user1,fileaccess,83.3,TA0008 - Lateral Movement
2026-01-13 00:21,user1,fileaccess,16.5,T1059 - Command Interpreter
2026-01-13 21:49,user2,fileaccess,31.7,TA0004 - Privilege Escalation
2026-01-13 01:32,user1,dataexfil,61.0,T1201 - Exploitation
2026-01-13 20:20,user1,privilegeescalation,80.6,TA0002 - Execution
2026-01-13 12:28,user2,login,38.1,TA0010 - Exfiltration
2026-01-13 20:13,guest,dataexfil,51.5,T1078 - Valid Accounts
2026-01-13 14:05,user2,usbinsert,118.3,T1078 - Valid Accounts
2026-01-13 22:01,admin,login,56.0,T1059 - Command Interpreter
2026-01-13 23:45,guest,usbinsert,87.7,TA0008 - Lateral Movement
2026-01-13 14:40,user1,fileaccess,57.6,TA0002 - Execution
2026-01-13 21:02,user1,usbinsert,99.7,TA0010 - Exfiltration
2026-01-13 13:16,admin,dataexfil,66.7,TA0002 - Execution
2026-01-13 07:25,user1,login,75.0,T1078 - Valid Accounts
2026-01-13 11:00,user2,usbinsert,116.5,TA0001 - Initial Access
2026-01-13 12:49,user2,usbinsert,110.9,TA0004 - Privilege Escalation
2026-01-13 00:08,guest,fileaccess,63.0,T1059 - Command Interpreter
2026-01-13 07:15,user2,fileaccess,76.6,TA0002 - Execution
2026-01-13 19:33,guest,usbinsert,104.3,T1078 - Valid Accounts
2026-01-13 08:59,user1,usbinsert,86.2,T1201 - Exploitation
